epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.9099798798561096,9.999999747378752e-06,0.3500765562057495,0.9787172675132751,0.8979409337043762,0.4837441146373749,0.9673231840133667
1,0.9212923049926758,9.499999578110874e-06,0.31454211473464966,0.984565258026123,0.9180841445922852,0.3743591904640198,0.9811996221542358
2,0.9246476888656616,9.02499959920533e-06,0.300845205783844,0.9857156276702881,0.938675045967102,0.29127997159957886,0.9870188236236572
3,0.9364394545555115,8.573749255447183e-06,0.2842646837234497,0.9878247380256653,0.9507609605789185,0.2425687313079834,0.9910474419593811
4,0.9359601140022278,8.145061656250618e-06,0.2736954987049103,0.9891669154167175,0.9570277333259583,0.21616756916046143,0.993285596370697
5,0.9419997930526733,7.737808118690737e-06,0.2612220048904419,0.9902214407920837,0.9601611495018005,0.20318621397018433,0.9946284890174866
6,0.9361518621444702,7.3509177127562e-06,0.26596978306770325,0.988304078578949,0.9632945656776428,0.19650323688983917,0.9941808581352234
7,0.9416163563728333,6.983371804381022e-06,0.25839948654174805,0.9899338483810425,0.9691137075424194,0.18602681159973145,0.9959713220596313
8,0.9433419704437256,6.6342031459498685e-06,0.2521795332431793,0.9897421002388,0.9731423258781433,0.1809612512588501,0.9964189529418945
9,0.9484229683876038,6.302493147813948e-06,0.23936694860458374,0.9904131889343262,0.9744852185249329,0.17747856676578522,0.9977618455886841
10,0.9480394721031189,5.987368695059558e-06,0.24337247014045715,0.9906049370765686,0.974932849407196,0.1738319993019104,0.9986571073532104
11,0.9516825079917908,5.688000328518683e-06,0.23490452766418457,0.9929057359695435,0.9753804802894592,0.17175428569316864,0.9986571073532104
12,0.9471766948699951,5.403600425779587e-06,0.2470693737268448,0.9910842776298523,0.9767233729362488,0.17044605314731598,0.9982094764709473
13,0.9499568343162537,5.13342047270271e-06,0.2373116910457611,0.9925222992897034,0.9776186347007751,0.16827762126922607,0.9977618455886841
14,0.951970100402832,4.8767492444312666e-06,0.23095062375068665,0.9917553663253784,0.977171003818512,0.16754941642284393,0.9982094764709473
15,0.9511072635650635,4.632911895896541e-06,0.23125354945659637,0.9916594624519348,0.977171003818512,0.165442556142807,0.9982094764709473
16,0.9525452852249146,4.4012663238390815e-06,0.2299439162015915,0.9935768246650696,0.9785138964653015,0.16276033222675323,0.9982094764709473
17,0.9490940570831299,4.1812031668087e-06,0.22885914146900177,0.9923305511474609,0.9798567295074463,0.16199074685573578,0.9986571073532104
18,0.9558048248291016,3.972143076680368e-06,0.21905606985092163,0.9930016398429871,0.9820948839187622,0.16040809452533722,0.9986571073532104
19,0.95820152759552,3.7735358091595117e-06,0.21644286811351776,0.993768572807312,0.9811996221542358,0.15938612818717957,0.9986571073532104
