epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.5081008672714233,0.0010000000474974513,1.7049964666366577,0.6987825036048889,0.4789614975452423,1.5259003639221191,0.6499552130699158
1,0.5784680247306824,0.0010000000474974513,1.225466012954712,0.7812290191650391,0.5434198975563049,1.3642569780349731,0.6911369562149048
2,0.5935193300247192,0.0010000000474974513,1.1662017107009888,0.7940753698348999,0.5899731516838074,1.1678541898727417,0.7887197732925415
3,0.5990796685218811,0.0010000000474974513,1.1383401155471802,0.8005943894386292,0.4377797544002533,1.701041579246521,0.6136974096298218
4,0.6003259420394897,0.0010000000474974513,1.1172196865081787,0.8059629797935486,0.45120859146118164,1.5808080434799194,0.6741271018981934
5,0.6027226448059082,0.0010000000474974513,1.1098079681396484,0.8059629797935486,0.5384959578514099,1.3435451984405518,0.7085944414138794
6,0.6176780462265015,0.0010000000474974513,1.08403742313385,0.8185217380523682,0.5367054343223572,1.3139113187789917,0.7175469994544983
7,0.6333045959472656,0.0005000000237487257,1.0478845834732056,0.8347234129905701,0.561324954032898,1.2714852094650269,0.7162041068077087
8,0.6344549655914307,0.0005000000237487257,1.0342772006988525,0.839516818523407,0.5371530652046204,1.323554515838623,0.7139659523963928
9,0.6358929872512817,0.0005000000237487257,1.0280619859695435,0.8351069092750549,0.5550581812858582,1.258908748626709,0.7354521155357361
